epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,27.3263,0.95754,0.92063,1,0.42592,0.000467827,0.000467827,0.000467827
2,49.7291,0.54001,0.9127,1,0.27377,0.000850689,0.000850689,0.000850689
3,71.2742,0.40331,0.84921,1,0.51059,0.00113924,0.00113924,0.00113924
4,92.3397,0.37788,0.95238,1,0.17808,0.00100459,0.00100459,0.00100459
5,112.794,0.25914,0.87302,1,0.30638,0.000863116,0.000863116,0.000863116
6,132.748,0.26594,0.95238,1,0.13248,0.000721645,0.000721645,0.000721645
7,153.05,0.262,0.95238,1,0.14718,0.000580174,0.000580174,0.000580174
8,173.081,0.23343,0.96032,1,0.11059,0.000438703,0.000438703,0.000438703
9,193.276,0.20376,0.97619,1,0.10415,0.000297232,0.000297232,0.000297232
10,213.48,0.19371,0.96825,1,0.11187,0.000155761,0.000155761,0.000155761
